Group,White,Black,Hispanic,Asian,Other
ALAMEDA POLICE DEPT,69,5,10,8,8
ALAMEDA ,45,6,11,31,7
ANTIOCH POLICE DEPT,77,5,15,3,0
ANTIOCH ,36,17,32,10,6
BERKELEY POLICE DEPT,56,18,10,15,1
BERKELEY,55,10,11,19,6
CONCORD POLICE DEPT,81,3,10,5,0
CONCORD ,50,3,31,11,5
DALY CITY POLICE DEPT,66,5,10,8,11
DALY CITY,14,3,24,55,4
FAIRFIELD POLICE DEPT,80,6,6,9,0
FAIRFIELD ,35,15,27,14,8
FREMONT POLICE DEPT,75,4,13,8,1
FREMONT ,27,3,15,50,5
HAYWARD POLICE DEPT,59,8,20,0,13
HAYWARD,19,11,41,22,7
LODI POLICE DEPT,88,0,9,0,3
LODI ,53,1,36,7,3
MODESTO POLICE DEPT,79,1,16,1,3
MODESTO,49,4,35,6,5
OAKLAND POLICE DEPT,44,21,18,12,4
OAKLAND ,26,27,25,17,5
PALO ALTO POLICE DEPT,70,7,8,10,5
PALO ALTO ,61,2,6,27,4
PETALUMA POLICE DEPT,91,1,7,1,0
PETALUMA ,69,1,21,4,3
PLEASANTON POLICE DEPT,93,2,2,2,0
PLEASANTON ,61,2,10,23,4
REDWOOD CITY POLICE DEPT,77,2,14,2,4
REDWOOD CITY ,44,2,39,10,5
RICHMOND POLICE DEPT,47,28,15,7,4
RICHMOND ,17,26,39,13,4
SALINAS POLICE DEPT,66,2,23,7,2
SALINAS ,16,2,75,6,2
SAN FRANCISCO POLICE DEPT,54,9,15,16,5
SAN FRANCISCO ,42,6,15,33,4
SAN JOSE POLICE DEPT,58,5,25,9,4
SAN JOSE ,29,3,33,32,4
SAN RAFAEL POLICE DEPT,85,1,8,5,0
SAN RAFAEL ,59,2,30,6,3
SANTA CLARA POLICE DEPT,70,4,19,7,0
SANTA CLARA ,36,3,19,37,5
SANTA ROSA POLICE DEPT,85,2,9,3,1
SANTA ROSA,60,2,29,5,4
STOCKTON POLICE DEPT,69,4,17,6,4
STOCKTON ,23,11,40,21,5
SUNNYVALE DEPT OF PUBLIC,70,2,13,8,7
SUNNYVALE ,34,2,19,41,4
VACAVILLE POLICE DEPT,68,6,19,6,2
VACAVILLE ,55,10,23,6,6
VALLEJO POLICE DEPT,72,8,6,4,10
VALLEJO,25,21,23,24,7
WALNUT CREEK POLICE DEPT,90,0,6,4,0
WALNUT CREEK ,74,2,9,12,4
WATSONVILLE POLICE DEPT,62,0,33,5,0
WATSONVILLE ,14,0,81,3,1
